species,T_K,x_Ge,n,D_eff_mean_cm2_s,D_eff_sd_cm2_s,D_eff_se_cm2_s,rel_se_pct
Arsenic,1173.15,0.0,8,9.113381124999999e-17,1.5873295522033878e-18,5.612057451704106e-19,0.6158040989100086
Arsenic,1173.15,0.025,8,9.79766125e-17,1.930819851401028e-18,6.826479050876343e-19,0.6967457719439263
Arsenic,1173.15,0.05,8,1.049779875e-16,1.795861468120125e-18,6.349329110896845e-19,0.6048248077623745
Arsenic,1173.15,0.075,8,1.121830375e-16,1.9423551138740964e-18,6.867262362463711e-19,0.6121480141294722
Arsenic,1173.15,0.1,8,1.193270875e-16,1.9939785537158036e-18,7.049778784364946e-19,0.5907945071034224
Arsenic,1173.15,0.125,8,1.27223775e-16,2.166527684535129e-18,7.659832086815894e-19,0.6020755229764164
Arsenic,1173.15,0.15,8,1.3588076249999999e-16,2.2460507442031956e-18,7.940988560575856e-19,0.5844085957771878
Arsenic,1173.15,0.175,8,1.448262375e-16,2.5676555721054705e-18,9.078033333936011e-19,0.6268224246270302
Arsenic,1173.15,0.2,8,1.54277675e-16,2.3281785288381287e-18,8.231354127771803e-19,0.5335414944366905
Arsenic,1173.15,0.225,8,1.64512325e-16,2.8641607236177015e-18,1.0126337350391227e-18,0.6155366991738295
Arsenic,1173.15,0.25,8,1.7529286249999999e-16,3.0821400046709194e-18,1.089701048934572e-18,0.6216459891141158
Arsenic,1173.15,0.275,8,1.86109025e-16,3.7988191841112176e-18,1.3430854027932948e-18,0.7216659174875022
Arsenic,1173.15,0.3,8,1.98369725e-16,4.2045094640839405e-18,1.4865185768083855e-18,0.7493676652565735
Arsenic,1173.15,0.325,8,2.1195505e-16,4.162266952034671e-18,1.4715835934461892e-18,0.6942904136731771
Arsenic,1173.15,0.35,8,2.259390375e-16,4.706774270874303e-18,1.6640960022247935e-18,0.7365243388826924
Arsenic,1173.15,0.375,8,2.410431875e-16,5.099133212177902e-18,1.802815836252268e-18,0.7479223349767014
Arsenic,1173.15,0.4,8,2.572249125e-16,5.441421100210996e-18,1.9238328796253797e-18,0.7479185670343573
Arsenic,1273.15,0.0,8,2.1148805e-15,4.4739228983074844e-17,1.5817706099494973e-17,0.7479243436919946
Arsenic,1273.15,0.025,8,2.245803625e-15,4.7508528572509976e-17,1.6796801358908324e-17,0.7479194161024798
Arsenic,1273.15,0.05,8,2.38482575e-15,5.044936033786749e-17,1.7836542400714876e-17,0.7479180565169121
Arsenic,1273.15,0.075,8,2.532448875e-15,5.3572467679469936e-17,1.8940727590525167e-17,0.7479214201520719
Arsenic,1273.15,0.1,8,2.689203875e-15,5.688846229606414e-17,2.0113108730411092e-17,0.7479205618209623
Arsenic,1273.15,0.125,8,2.855655875e-15,6.040975517115829e-17,2.1358073765672564e-17,0.7479218330420351
Arsenic,1273.15,0.15,8,3.03240375e-15,6.414871824518402e-17,2.2679996837797412e-17,0.7479214084799035
Arsenic,1273.15,0.175,8,3.220084375e-15,6.811907520120824e-17,2.4083730001465363e-17,0.7479223273913549
Arsenic,1273.15,0.2,8,3.419373625e-15,7.23349590880361e-17,2.5574270044000902e-17,0.7479226562730741
Arsenic,1273.15,0.225,8,3.6309891250000004e-15,7.681139554303037e-17,2.715692933043946e-17,0.7479209767790053
Arsenic,1273.15,0.25,8,3.8556925e-15,8.156492866947869e-17,2.883755708459271e-17,0.7479216012322745
Arsenic,1273.15,0.275,8,4.09429275e-15,8.661214314360639e-17,3.062201687497201e-17,0.7479195735324986
Arsenic,1273.15,0.3,8,4.347649125e-15,9.197198676062407e-17,3.251700775881832e-17,0.7479216197976493
Arsenic,1273.15,0.325,8,4.616673375e-15,9.766323377656737e-17,3.452916743800893e-17,0.7479231176498149
Arsenic,1273.15,0.35,8,4.902333875e-15,1.0370605638663459e-16,3.666562786055189e-17,0.7479218836467332
Arsenic,1273.15,0.375,8,5.205658625e-15,1.1012266138647071e-16,3.89342403143417e-17,0.7479215046365377
Arsenic,1273.15,0.4,8,5.527739875e-15,1.1693609126165266e-16,4.1343151548281784e-17,0.7479214377518403
Arsenic,1373.15,0.0,8,3.11041375e-14,6.579880228773161e-16,2.326338964580397e-16,0.7479194575256739
Arsenic,1373.15,0.025,8,3.28904925e-14,6.957789528239973e-16,2.459950078743617e-16,0.747921326731005
Arsenic,1373.15,0.05,8,3.4779366250000003e-14,7.357359993704553e-16,2.601219571589552e-16,0.7479203482005805
