species,x_Ge,T_K,seed,D_eff_final,D_SiGe_analytic_cm2_s,relative_difference_pct,stop_reason,step_count,total_dopant_hops,elapsed_wallclock_sec
Boron,0.0000,1173.15,101,1.011957e-15,1.039614e-15,2.6603,converged_Deff,8450000,8450000,21.33
Boron,0.0000,1173.15,202,1.011918e-15,1.039614e-15,2.6641,converged_Deff,7800000,7800000,19.04
Boron,0.0000,1173.15,303,1.046854e-15,1.039614e-15,0.6965,converged_Deff,6900000,6900000,18.32
Boron,0.0000,1173.15,404,1.059970e-15,1.039614e-15,1.9581,converged_Deff,6650000,6650000,16.25
Boron,0.0000,1173.15,505,1.053261e-15,1.039614e-15,1.3128,converged_Deff,6000000,6000000,14.59
Boron,0.0000,1173.15,606,1.053712e-15,1.039614e-15,1.3561,converged_Deff,6950000,6950000,17.24
Boron,0.0000,1173.15,707,1.020109e-15,1.039614e-15,1.8762,converged_Deff,6350000,6350000,15.87
Boron,0.0000,1173.15,808,1.009869e-15,1.039614e-15,2.8611,converged_Deff,9100000,9100000,22.61
Boron,0.0250,1173.15,101,9.352872e-16,9.644949e-16,3.0283,converged_Deff,8450000,8450000,20.92
Boron,0.0250,1173.15,202,9.352510e-16,9.644949e-16,3.0320,converged_Deff,7800000,7800000,19.28
Boron,0.0250,1173.15,303,9.675408e-16,9.644949e-16,0.3158,converged_Deff,6900000,6900000,17.07
Boron,0.0250,1173.15,404,9.796628e-16,9.644949e-16,1.5726,converged_Deff,6650000,6650000,16.23
Boron,0.0250,1173.15,505,9.734624e-16,9.644949e-16,0.9298,converged_Deff,6000000,6000000,14.88
Boron,0.0250,1173.15,606,9.738793e-16,9.644949e-16,0.9730,converged_Deff,6950000,6950000,18.57
Boron,0.0250,1173.15,707,9.428217e-16,9.644949e-16,2.2471,converged_Deff,6350000,6350000,16.22
Boron,0.0250,1173.15,808,9.333580e-16,9.644949e-16,3.2283,converged_Deff,9100000,9100000,24.70
Boron,0.0500,1173.15,101,8.644245e-16,8.948039e-16,3.3951,converged_Deff,8450000,8450000,21.87
Boron,0.0500,1173.15,202,8.643911e-16,8.948039e-16,3.3988,converged_Deff,7800000,7800000,19.48
Boron,0.0500,1173.15,303,8.942344e-16,8.948039e-16,0.0636,converged_Deff,6900000,6900000,16.99
Boron,0.0500,1173.15,404,9.054380e-16,8.948039e-16,1.1884,converged_Deff,6650000,6650000,18.02
Boron,0.0500,1173.15,505,8.997074e-16,8.948039e-16,0.5480,converged_Deff,6000000,6000000,15.30
Boron,0.0500,1173.15,606,9.000927e-16,8.948039e-16,0.5911,converged_Deff,6950000,6950000,18.19
Boron,0.0500,1173.15,707,8.713881e-16,8.948039e-16,2.6169,converged_Deff,6350000,6350000,16.47
Boron,0.0500,1173.15,808,8.626415e-16,8.948039e-16,3.5944,converged_Deff,9100000,9100000,22.67
Boron,0.0750,1173.15,101,7.989290e-16,8.301485e-16,3.7607,converged_Deff,8450000,8450000,21.73
Boron,0.0750,1173.15,202,7.988981e-16,8.301485e-16,3.7644,converged_Deff,7800000,7800000,19.35
Boron,0.0750,1173.15,303,8.264803e-16,8.301485e-16,0.4419,converged_Deff,6900000,6900000,17.05
Boron,0.0750,1173.15,404,8.368350e-16,8.301485e-16,0.8055,converged_Deff,6650000,6650000,16.29
Boron,0.0750,1173.15,505,8.315386e-16,8.301485e-16,0.1675,converged_Deff,6000000,6000000,14.65
Boron,0.0750,1173.15,606,8.318947e-16,8.301485e-16,0.2104,converged_Deff,6950000,6950000,17.14
Boron,0.0750,1173.15,707,8.053651e-16,8.301485e-16,2.9854,converged_Deff,6350000,6350000,15.60
Boron,0.0750,1173.15,808,7.972811e-16,8.301485e-16,3.9592,converged_Deff,9100000,9100000,22.43
Boron,0.1000,1173.15,101,7.383944e-16,7.701648e-16,4.1251,converged_Deff,8450000,8450000,20.90
Boron,0.1000,1173.15,202,7.383659e-16,7.701648e-16,4.1289,converged_Deff,7800000,7800000,19.26
Boron,0.1000,1173.15,303,7.638581e-16,7.701648e-16,0.8189,converged_Deff,6900000,6900000,17.09
Boron,0.1000,1173.15,404,7.734283e-16,7.701648e-16,0.4237,converged_Deff,6650000,6650000,16.16
Boron,0.1000,1173.15,505,7.685332e-16,7.701648e-16,0.2119,converged_Deff,6000000,6000000,14.71
Boron,0.1000,1173.15,606,7.688623e-16,7.701648e-16,0.1691,converged_Deff,6950000,6950000,17.30
Boron,0.1000,1173.15,707,7.443428e-16,7.701648e-16,3.3528,converged_Deff,6350000,6350000,15.60
Boron,0.1000,1173.15,808,7.368713e-16,7.701648e-16,4.3229,converged_Deff,9100000,9100000,22.62
Boron,0.1250,1173.15,101,6.824450e-16,7.145154e-16,4.4884,converged_Deff,8450000,8450000,20.78
Boron,0.1250,1173.15,202,6.824186e-16,7.145154e-16,4.4921,converged_Deff,7800000,7800000,18.98
Boron,0.1250,1173.15,303,7.059793e-16,7.145154e-16,1.1947,converged_Deff,6900000,6900000,16.90
Boron,0.1250,1173.15,404,7.148243e-16,7.145154e-16,0.0432,converged_Deff,6650000,6650000,16.49
Boron,0.1250,1173.15,505,7.103001e-16,7.145154e-16,0.5899,converged_Deff,6000000,6000000,14.95
Boron,0.1250,1173.15,606,7.106043e-16,7.145154e-16,0.5474,converged_Deff,6950000,6950000,16.96
Boron,0.1250,1173.15,707,6.879427e-16,7.145154e-16,3.7190,converged_Deff,6350000,6350000,15.62
Boron,0.1250,1173.15,808,6.810374e-16,7.145154e-16,4.6854,converged_Deff,9100000,9100000,22.44
Boron,0.1500,1173.15,101,6.307336e-16,6.628870e-16,4.8505,converged_Deff,8450000,8450000,20.79
Boron,0.1500,1173.15,202,6.307092e-16,6.628870e-16,4.8542,converged_Deff,7800000,7800000,19.30
Boron,0.1500,1173.15,303,6.524846e-16,6.628870e-16,1.5693,converged_Deff,6900000,6900000,17.04
Boron,0.1500,1173.15,404,6.606594e-16,6.628870e-16,0.3360,converged_Deff,6650000,6650000,16.51
Boron,0.1500,1173.15,505,6.564781e-16,6.628870e-16,0.9668,converged_Deff,6000000,6000000,14.92
Boron,0.1500,1173.15,606,6.567592e-16,6.628870e-16,0.9244,converged_Deff,6950000,6950000,17.30
Boron,0.1500,1173.15,707,6.358147e-16,6.628870e-16,4.0840,converged_Deff,6350000,6350000,15.72
Boron,0.1500,1173.15,808,6.294326e-16,6.628870e-16,5.0468,converged_Deff,9100000,9100000,22.58
Boron,0.1750,1173.15,101,5.829394e-16,6.149891e-16,5.2114,converged_Deff,8450000,8450000,20.95
Boron,0.1750,1173.15,202,5.829168e-16,6.149891e-16,5.2151,converged_Deff,7800000,7800000,19.26
Boron,0.1750,1173.15,303,6.030422e-16,6.149891e-16,1.9426,converged_Deff,6900000,6900000,16.89
Boron,0.1750,1173.15,404,6.105975e-16,6.149891e-16,0.7141,converged_Deff,6650000,6650000,16.40
Boron,0.1750,1173.15,505,6.067330e-16,6.149891e-16,1.3425,converged_Deff,6000000,6000000,14.88
Boron,0.1750,1173.15,606,6.069928e-16,6.149891e-16,1.3002,converged_Deff,6950000,6950000,17.32
Boron,0.1750,1173.15,707,5.876354e-16,6.149891e-16,4.4478,converged_Deff,6350000,6350000,15.57
Boron,0.1750,1173.15,808,5.817369e-16,6.149891e-16,5.4070,converged_Deff,9100000,9100000,22.53
Boron,0.2000,1173.15,101,5.387656e-16,5.705521e-16,5.5712,converged_Deff,8450000,8450000,21.03
Boron,0.2000,1173.15,202,5.387447e-16,5.705521e-16,5.5748,converged_Deff,7800000,7800000,19.25
Boron,0.2000,1173.15,303,5.573450e-16,5.705521e-16,2.3148,converged_Deff,6900000,6900000,17.19
Boron,0.2000,1173.15,404,5.643278e-16,5.705521e-16,1.0909,converged_Deff,6650000,6650000,16.60
Boron,0.2000,1173.15,505,5.607562e-16,5.705521e-16,1.7169,converged_Deff,6000000,6000000,14.93
Boron,0.2000,1173.15,606,5.609963e-16,5.705521e-16,1.6748,converged_Deff,6950000,6950000,17.50
Boron,0.2000,1173.15,707,5.431058e-16,5.705521e-16,4.8105,converged_Deff,6350000,6350000,15.71
Boron,0.2000,1173.15,808,5.376543e-16,5.705521e-16,5.7660,converged_Deff,9100000,9100000,22.25
Boron,0.2250,1173.15,101,4.979381e-16,5.293260e-16,5.9298,converged_Deff,8450000,8450000,20.73
Boron,0.2250,1173.15,202,4.979188e-16,5.293260e-16,5.9334,converged_Deff,7800000,7800000,19.30
Boron,0.2250,1173.15,303,5.151096e-16,5.293260e-16,2.6858,converged_Deff,6900000,6900000,17.07
Boron,0.2250,1173.15,404,5.215633e-16,5.293260e-16,1.4665,converged_Deff,6650000,6650000,16.46
Boron,0.2250,1173.15,505,5.182622e-16,5.293260e-16,2.0902,converged_Deff,6000000,6000000,14.80
Boron,0.2250,1173.15,606,5.184842e-16,5.293260e-16,2.0482,converged_Deff,6950000,6950000,17.20
Boron,0.2250,1173.15,707,5.019494e-16,5.293260e-16,5.1720,converged_Deff,6350000,6350000,15.49
Boron,0.2250,1173.15,808,4.969110e-16,5.293260e-16,6.1238,converged_Deff,9100000,9100000,22.66
Boron,0.2500,1173.15,101,4.602035e-16,4.910788e-16,6.2872,converged_Deff,8450000,8450000,20.80
Boron,0.2500,1173.15,202,4.601857e-16,4.910788e-16,6.2909,converged_Deff,7800000,7800000,19.29
Boron,0.2500,1173.15,303,4.760737e-16,4.910788e-16,3.0555,converged_Deff,6900000,6900000,17.00
Boron,0.2500,1173.15,404,4.820383e-16,4.910788e-16,1.8409,converged_Deff,6650000,6650000,16.40
Boron,0.2500,1173.15,505,4.789875e-16,4.910788e-16,2.4622,converged_Deff,6000000,6000000,14.66
Boron,0.2500,1173.15,606,4.791926e-16,4.910788e-16,2.4204,converged_Deff,6950000,6950000,17.26
Boron,0.2500,1173.15,707,4.639108e-16,4.910788e-16,5.5323,converged_Deff,6350000,6350000,15.64
Boron,0.2500,1173.15,808,4.592543e-16,4.910788e-16,6.4805,converged_Deff,9100000,9100000,22.60
Boron,0.2750,1173.15,101,4.253276e-16,4.555951e-16,6.6435,converged_Deff,8450000,8450000,20.69
Boron,0.2750,1173.15,202,4.253112e-16,4.555951e-16,6.6471,converged_Deff,7800000,7800000,19.12
Boron,0.2750,1173.15,303,4.399952e-16,4.555951e-16,3.4241,converged_Deff,6900000,6900000,17.02
Boron,0.2750,1173.15,404,4.455077e-16,4.555951e-16,2.2141,converged_Deff,6650000,6650000,16.40
Boron,0.2750,1173.15,505,4.426881e-16,4.555951e-16,2.8330,converged_Deff,6000000,6000000,14.96
Boron,0.2750,1173.15,606,4.428776e-16,4.555951e-16,2.7914,converged_Deff,6950000,6950000,17.05
Boron,0.2750,1173.15,707,4.287540e-16,4.555951e-16,5.8914,converged_Deff,6350000,6350000,15.83
Boron,0.2750,1173.15,808,4.244503e-16,4.555951e-16,6.8361,converged_Deff,9100000,9100000,22.16
Boron,0.3000,1173.15,101,3.930939e-16,4.226754e-16,6.9986,converged_Deff,8450000,8450000,20.60
Boron,0.3000,1173.15,202,3.930787e-16,4.226754e-16,7.0022,converged_Deff,7800000,7800000,19.10
Boron,0.3000,1173.15,303,4.066499e-16,4.226754e-16,3.7915,converged_Deff,6900000,6900000,17.08
Boron,0.3000,1173.15,404,4.117447e-16,4.226754e-16,2.5861,converged_Deff,6650000,6650000,16.49
Boron,0.3000,1173.15,505,4.091387e-16,4.226754e-16,3.2026,converged_Deff,6000000,6000000,14.87
Boron,0.3000,1173.15,606,4.093139e-16,4.226754e-16,3.1612,converged_Deff,6950000,6950000,16.88
Boron,0.3000,1173.15,707,3.962606e-16,4.226754e-16,6.2494,converged_Deff,6350000,6350000,15.65
Boron,0.3000,1173.15,808,3.922831e-16,4.226754e-16,7.1905,converged_Deff,9100000,9100000,22.53
Boron,0.3250,1173.15,101,3.633023e-16,3.921344e-16,7.3526,converged_Deff,8450000,8450000,20.75
Boron,0.3250,1173.15,202,3.632882e-16,3.921344e-16,7.3562,converged_Deff,7800000,7800000,19.25
Boron,0.3250,1173.15,303,3.758309e-16,3.921344e-16,4.1576,converged_Deff,6900000,6900000,17.11
Boron,0.3250,1173.15,404,3.805395e-16,3.921344e-16,2.9569,converged_Deff,6650000,6650000,16.41
Boron,0.3250,1173.15,505,3.781311e-16,3.921344e-16,3.5710,converged_Deff,6000000,6000000,14.88
Boron,0.3250,1173.15,606,3.782930e-16,3.921344e-16,3.5298,converged_Deff,6950000,6950000,17.24
Boron,0.3250,1173.15,707,3.662290e-16,3.921344e-16,6.6062,converged_Deff,6350000,6350000,15.72
Boron,0.3250,1173.15,808,3.625529e-16,3.921344e-16,7.5437,converged_Deff,9100000,9100000,23.03
Boron,0.3500,1173.15,101,3.357678e-16,3.638001e-16,7.7054,converged_Deff,8450000,8450000,20.94
Boron,0.3500,1173.15,202,3.357548e-16,3.638001e-16,7.7090,converged_Deff,7800000,7800000,19.28
Boron,0.3500,1173.15,303,3.473468e-16,3.638001e-16,4.5226,converged_Deff,6900000,6900000,16.99
Boron,0.3500,1173.15,404,3.516986e-16,3.638001e-16,3.3264,converged_Deff,6650000,6650000,16.52
Boron,0.3500,1173.15,505,3.494727e-16,3.638001e-16,3.9383,converged_Deff,6000000,6000000,14.80
Boron,0.3500,1173.15,606,3.496223e-16,3.638001e-16,3.8971,converged_Deff,6950000,6950000,17.23
Boron,0.3500,1173.15,707,3.384727e-16,3.638001e-16,6.9619,converged_Deff,6350000,6350000,15.71
Boron,0.3500,1173.15,808,3.350752e-16,3.638001e-16,7.8958,converged_Deff,9100000,9100000,22.43
Boron,0.3750,1173.15,101,3.103194e-16,3.375132e-16,8.0571,converged_Deff,8450000,8450000,20.94
